연도,대학교,대학원유형,재학생_전체,재학생_석사,재학생_박사,학과수_전체,학과수_석사,학과수_박사,입학자_전체,입학자_석사,입학자_박사,졸업자_전체,졸업자_석사,졸업자_박사,지원자_전체,지원자_석사,지원자_박사,모집인원,입학정원_전체
2021,경인교대,교육전문대학원,1343,1284,59,67,54,13,568,550,18,391,383,8,820,786,34,0,665
2021,공주교대,교육대학원,547,547,0,40,40,0,253,253,0,195,195,0,304,304,0,0,230
2021,광주교대,교육대학원,512,512,0,44,44,0,190,190,0,232,232,0,238,238,0,0,302
2021,대구교대,교육대학원,914,914,0,63,63,0,400,400,0,286,286,0,514,514,0,0,373
2021,부산교대,교육대학원,899,899,0,39,39,0,307,307,0,293,293,0,419,419,0,0,375
2021,서울교대,교육대학원,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0
2021,서울교대,교육전문대학원,1355,1266,89,40,29,11,533,509,24,379,368,11,738,684,54,0,510
2021,전주교대,교육대학원,170,170,0,27,27,0,71,71,0,92,92,0,71,71,0,0,188
2021,진주교대,교육대학원,357,357,0,25,25,0,126,126,0,118,118,0,143,143,0,0,230
2021,청주교대,교육대학원,374,374,0,30,30,0,141,141,0,91,91,0,161,161,0,0,234
2021,춘천교대,교육대학원,364,364,0,28,28,0,155,155,0,130,130,0,192,192,0,0,283
2022,경인교대,교육전문대학원,1280,1228,52,69,56,13,474,456,18,403,395,8,719,697,22,0,665
2022,공주교대,교육대학원,582,582,0,41,41,0,244,244,0,195,195,0,272,272,0,0,230
2022,광주교대,교육대학원,488,488,0,38,38,0,172,172,0,188,188,0,196,196,0,0,302
2022,대구교대,교육대학원,925,925,0,56,56,0,350,350,0,315,315,0,495,495,0,0,373
2022,부산교대,교육대학원,843,843,0,41,41,0,289,289,0,256,256,0,416,416,0,0,375
2022,서울교대,교육대학원,0,0,0,0,0,0,0,0,0,191,191,0,0,0,0,0,0
2022,서울교대,교육전문대학원,1368,1276,92,43,31,12,469,445,24,475,466,9,725,636,89,0,510
2022,전주교대,교육대학원,190,190,0,32,32,0,81,81,0,77,77,0,94,94,0,0,188
2022,진주교대,교육대학원,298,298,0,25,25,0,87,87,0,144,144,0,96,96,0,0,230
2022,청주교대,교육대학원,352,352,0,31,31,0,129,129,0,116,116,0,148,148,0,0,234
2022,춘천교대,교육대학원,371,371,0,28,28,0,126,126,0,92,92,0,142,142,0,0,283
2023,경인교대,교육전문대학원,1238,1187,51,74,61,13,501,483,18,407,395,12,716,689,27,0,665
2023,공주교대,교육대학원,539,539,0,39,39,0,228,228,0,176,176,0,275,275,0,0,230
2023,광주교대,교육대학원,467,467,0,37,37,0,181,181,0,167,167,0,205,205,0,0,302
2023,대구교대,교육대학원,858,858,0,54,54,0,298,298,0,278,278,0,295,295,0,0,373
2023,부산교대,교육대학원,751,751,0,40,40,0,222,222,0,256,256,0,327,327,0,0,375
2023,서울교대,교육대학원,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0
2023,서울교대,교육전문대학원,1264,1182,82,44,32,12,424,400,24,413,400,13,635,584,51,0,510
2023,전주교대,교육대학원,166,166,0,29,29,0,57,57,0,68,68,0,67,67,0,0,188
2023,진주교대,교육대학원,226,226,0,25,25,0,84,84,0,107,107,0,85,85,0,0,230
2023,청주교대,교육대학원,296,296,0,29,29,0,109,109,0,128,128,0,125,125,0,0,234
2023,춘천교대,교육대학원,336,336,0,27,27,0,109,109,0,101,101,0,127,127,0,0,283
2024,경인교대,교육전문대학원,1253,1203,50,78,65,13,514,496,18,454,443,11,693,659,34,0,665
2024,공주교대,교육대학원,548,548,0,35,35,0,239,239,0,194,194,0,287,287,0,0,230
2024,광주교대,교육대학원,445,445,0,37,37,0,149,149,0,201,201,0,181,181,0,0,302
2024,대구교대,교육대학원,763,763,0,51,51,0,237,237,0,312,312,0,360,360,0,0,373
2024,부산교대,교육대학원,704,704,0,40,40,0,255,255,0,261,261,0,255,255,0,0,375
2024,서울교대,교육대학원,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0
2024,서울교대,교육전문대학원,1132,1053,79,46,34,12,384,360,24,418,413,5,533,490,43,0,510
2024,전주교대,교육대학원,148,148,0,21,21,0,54,54,0,147,147,0,69,69,0,0,188
2024,진주교대,교육대학원,222,222,0,25,25,0,105,105,0,99,99,0,106,106,0,0,230
2024,청주교대,교육대학원,288,288,0,26,26,0,98,98,0,118,118,0,121,121,0,0,234
2024,춘천교대,교육대학원,280,280,0,28,28,0,95,95,0,111,111,0,121,121,0,0,283
2025,경인교대,교육전문대학원,1314,1209,105,84,67,17,584,503,81,572,562,10,782,682,100,0,737
2025,공주교대,교육대학원,515,515,0,32,32,0,219,219,0,219,219,0,278,278,0,0,230
2025,광주교대,교육대학원,440,440,0,34,34,0,185,185,0,181,181,0,217,217,0,0,270
2025,광주교대,교육전문대학원,24,0,24,7,0,7,24,0,24,0,0,0,31,0,31,0,32
2025,대구교대,교육대학원,834,834,0,61,61,0,444,444,0,293,293,0,601,601,0,0,343
2025,대구교대,교육전문대학원,55,0,55,8,0,8,56,0,56,0,0,0,99,0,99,0,30
2025,부산교대,교육대학원,706,706,0,41,41,0,274,274,0,211,211,0,367,367,0,0,375
2025,서울교대,교육대학원,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0
2025,서울교대,교육전문대학원,1179,1070,109,46,34,12,472,421,51,398,385,13,644,570,74,0,510
2025,전주교대,교육대학원,119,119,0,17,17,0,54,54,0,91,91,0,70,70,0,0,188
2025,진주교대,교육대학원,246,246,0,27,27,0,95,95,0,80,80,0,116,116,0,0,230
2025,청주교대,교육대학원,323,323,0,24,24,0,158,158,0,155,155,0,194,194,0,0,234
2025,춘천교대,교육대학원,318,318,0,27,27,0,133,133,0,101,101,0,161,161,0,0,283
